la_code,la_name,spend_resid_median,spend_resid_lag_median,combined_spend_resid_median,spend_resid_q89_lb,spend_resid_lag_q89_lb,combined_spend_resid_q89_lb,spend_resid_q89_ub,spend_resid_lag_q89_ub,combined_spend_resid_q89_ub
E08000034,Kirklees,0.049840732173229534,0.04010603830837659,0.12223760182587604,-0.12118073860277416,-0.2699702764611003,-0.26413640406673267,0.32606586204998017,0.3689450932586872,0.5104351873383646
E08000035,Leeds,0.009743638194183049,-0.05891860258328338,-0.04806250032102635,-0.17808706900987492,-0.3311371905021671,-0.3775692979814823,0.24120641247313446,0.20541316052513786,0.3093619820878182
E08000036,Wakefield,0.004833474461622486,-0.16040121974124755,-0.1557351610559966,-0.1931752673898416,-0.47479856703919854,-0.530614478800423,0.22811017320341412,0.09509511171621718,0.18897854709317635
E08000037,Gateshead,-0.01567556937822699,0.06507389719832449,0.047728533096322454,-0.24926429091387747,-0.24634410598437398,-0.32847691961585823,0.18911405663790198,0.40925912483441673,0.42620727497176875
E09000002,Barking and Dagenham,0.051017144837884394,0.03052901396515748,0.09498691520867286,-0.09334320704028178,-0.24056107572540425,-0.21312397367466465,0.2554761558874997,0.2849780101566361,0.38649988663365065
E09000003,Barnet,0.010902676602246461,0.054588915281647804,0.08113364802458181,-0.16136494573247756,-0.20736804729370684,-0.24303090474610348,0.2344269469047503,0.33047505148439377,0.4202409503566222
E09000004,Bexley,0.01496560174610333,0.008474908596056093,0.015487744286457432,-0.18533499088173744,-0.3283644558449531,-0.36699720869494035,0.25315437315758754,0.3305396941221101,0.43279220170897614
E09000005,Brent,-0.020292626382798738,-0.012015202499047577,-0.038327202074681974,-0.2323999034841028,-0.28409552329648585,-0.4058115814954135,0.16219862251137548,0.271121424765489,0.3225439519798456
E09000006,Bromley,-0.007408100319427889,-0.026477122027278442,-0.03574808889815467,-0.23416725682852046,-0.38947393824409515,-0.4772168946379602,0.22230700024952624,0.3051135413737167,0.37549033914463636
E09000007,Camden,-0.00625077188697313,0.03511822784389301,0.02608847977311369,-0.19625718815153917,-0.22640965724649653,-0.29328154401034395,0.1751185167494046,0.3006994733060232,0.35619976434095507
